uid,site_id,class_code,taxon_rank,utm_zone,nlcd_class,elevation,growth_form,plant_status,stem_diameter,tree_height,max_crown_diameter,ninety_crown_ciameter,canopy_position,rgb_path,hsi_path,las_path,chm_path,xmin,ymin,xmax,ymax,width,height,class_id,scientific_name,common_name
MLBS00797,MLBS,ACPE,species,17N,deciduousForest,1172.84,single bole tree,Live,12.4,12.2,,,,data/train/RemoteSensing/RGB/MLBS_35.tif,data/train/RemoteSensing/HSI/MLBS_35.tif,data/train/RemoteSensing/LAS/MLBS_35.las,data/train/RemoteSensing/CHM/MLBS_35.tif,91.0,126.0,123.0,161.0,200,200,1.0,Acer pensylvanicum L.,
MLBS01563,MLBS,ACPE,species,17N,deciduousForest,1221.21,single bole tree,"Live, disease damaged",12.3,6.7,4.5,4.4,Mostly shaded,data/train/RemoteSensing/RGB/MLBS_9.tif,data/train/RemoteSensing/HSI/MLBS_9.tif,data/train/RemoteSensing/LAS/MLBS_9.las,data/train/RemoteSensing/CHM/MLBS_9.tif,0.0,48.0,35.0,93.0,200,200,1.0,Acer pensylvanicum L.,
MLBS01628,MLBS,ACPE,species,17N,deciduousForest,1310.19,single bole tree,"Live, physically damaged",13.9,6.5,6.1,3.6,Mostly shaded,data/train/RemoteSensing/RGB/MLBS_1.tif,data/train/RemoteSensing/HSI/MLBS_1.tif,data/train/RemoteSensing/LAS/MLBS_1.las,data/train/RemoteSensing/CHM/MLBS_1.tif,3.0,123.0,30.0,159.0,200,200,1.0,Acer pensylvanicum L.,
MLBS01682,MLBS,ACPE,species,17N,deciduousForest,1267.66,single bole tree,Live,19.8,11.5,6.3,6.0,Partially shaded,data/train/RemoteSensing/RGB/MLBS_11.tif,data/train/RemoteSensing/HSI/MLBS_11.tif,data/train/RemoteSensing/LAS/MLBS_11.las,data/train/RemoteSensing/CHM/MLBS_11.tif,5.0,90.0,73.0,161.0,200,200,1.0,Acer pensylvanicum L.,
MLBS01675,MLBS,ACPE,species,17N,deciduousForest,1310.19,single bole tree,Live,22.8,8.4,8.2,6.4,Mostly shaded,data/train/RemoteSensing/RGB/MLBS_1.tif,data/train/RemoteSensing/HSI/MLBS_1.tif,data/train/RemoteSensing/LAS/MLBS_1.las,data/train/RemoteSensing/CHM/MLBS_1.tif,60.0,56.0,93.0,78.0,200,200,1.0,Acer pensylvanicum L.,
MLBS01671A,MLBS,ACPE,species,17N,deciduousForest,1310.19,multi-bole tree,Live,10.3,7.5,8.6,4.9,Mostly shaded,data/train/RemoteSensing/RGB/MLBS_1.tif,data/train/RemoteSensing/HSI/MLBS_1.tif,data/train/RemoteSensing/LAS/MLBS_1.las,data/train/RemoteSensing/CHM/MLBS_1.tif,33.0,5.0,61.0,45.0,200,200,1.0,Acer pensylvanicum L.,
MLBS01643,MLBS,ACPE,species,17N,deciduousForest,1310.19,single bole tree,Live,17.5,9.1,6.0,6.0,Mostly shaded,data/train/RemoteSensing/RGB/MLBS_1.tif,data/train/RemoteSensing/HSI/MLBS_1.tif,data/train/RemoteSensing/LAS/MLBS_1.las,data/train/RemoteSensing/CHM/MLBS_1.tif,157.0,130.0,199.0,173.0,200,200,1.0,Acer pensylvanicum L.,
MLBS01729,MLBS,ACPE,species,17N,deciduousForest,897.62,single bole tree,Live,6.5,14.6,8.3,6.0,Mostly shaded,data/train/RemoteSensing/RGB/MLBS_10.tif,data/train/RemoteSensing/HSI/MLBS_10.tif,data/train/RemoteSensing/LAS/MLBS_10.las,data/train/RemoteSensing/CHM/MLBS_10.tif,0.0,149.0,39.0,196.0,200,200,1.0,Acer pensylvanicum L.,
MLBS00128,MLBS,ACRU,species,17N,deciduousForest,1175.1,single bole tree,Live,19.2,14.5,,,,data/train/RemoteSensing/RGB/MLBS_26.tif,data/train/RemoteSensing/HSI/MLBS_26.tif,data/train/RemoteSensing/LAS/MLBS_26.las,data/train/RemoteSensing/CHM/MLBS_26.tif,165.0,0.0,198.0,39.0,200,200,2.0,Acer rubrum L.,
MLBS00100A,MLBS,ACRU,species,17N,deciduousForest,1175.1,multi-bole tree,Live,25.5,15.4,,,,data/train/RemoteSensing/RGB/MLBS_26.tif,data/train/RemoteSensing/HSI/MLBS_26.tif,data/train/RemoteSensing/LAS/MLBS_26.las,data/train/RemoteSensing/CHM/MLBS_26.tif,109.0,136.0,190.0,197.0,200,200,2.0,Acer rubrum L.,
